스크립트 넘버,랜덤 이벤트 넘버,캐릭터 고유값,캐릭터의 대사,캐릭터의 감정,이름표 사용 여부,선택지 번호,스킵라인,시트설명,,,,,,,,,,,,,,,,,,
index,EventNum,Character,Line,Face,NameTag,SelectIndex,SkipLine,,,,,,,,,,,,,,,,,,,
long,long,string,string,string,bool,long,long,,,,,,,,,,,,,,,,,,,
1000,100,Professor,"에… 그러니까…
이번에 제출할 과제는 조별로 진행할 예정입니다.",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1001,100,Professor,"앞에 학번 확인하시고, 조별로 역할 분담해서
다음 주까지 준비해 올 수 있도록 하세요.",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1002,100,Player,(잠시 후),none,FALSE,,,,,,,,,,,,,,,,,,,,,
1003,100,Comsoon,안녕하세요! 23학번 김컴순입니다!,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1004,100,StudentA,"네, 안녕하세요. 21학번 박XX입니다.",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1005,100,StudentB,반갑습니다. 22학번 이XX이에요,none,TRUE,,,,,,,,,,,,,,,,,,,,,
1006,100,StudentA,"저희 우선은 역할부터 나눌까요? 우선 조장부터 기입을 해야 하는데...
혹시 조장하시고 싶으신 분 계신가요?",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1007,100,Comsoon,"그… 
(어떡하지? 조교님한테 물어볼까?)",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1008,100,Comsoon,"(조교님!! 저 컴순인데요…
조별과제 조장 해 볼까요?)",basic,TRUE,0,,,,,,,,,,,,,,,,,,,,
1009,100,Comsoon,제가 한 번 해보겠습니다!,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1010,100,StudentA,"아, 네. 컴순 님이 그러면 조장 맡아 주시겠어요?",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1011,100,StudentB,왠지 조장 잘 하실 것 같아요..!!,none,TRUE,,,,,,,,,,,,,,,,,,,,,
1012,100,Comsoon,네! 최선을 다해 볼게요.,glad,TRUE,,,,,,,,,,,,,,,,,,,,,
1013,100,StudentA,"네, 그러면 조장은 정해졌고…
조장님, 혹시 어떻게 진행하시고 싶으세요?",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1014,100,Comsoon,"네? 어… 그러니까…
이거는 이렇게…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1015,100,Player,"조장 역할은 분명히 힘들고 지쳤지만,
리더 역할을 수행하며 많은 것을 배울 수 있었다.",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1016,100,Comsoon,……,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1017,100,StudentA,"아무도 없으신가요? 그러면 조장은 제가 맡겠습니다.
생각해 둔 게 있어서, 그것대로 한 번 진행해볼게요.",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1018,100,StudentB,"앗, 네! 시켜주실 것 있으면 바로 말해주세요.",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1019,100,StudentA,"그러면 학생B 님은 이걸 맡아 주시고... 
컴순님은 이걸 맡아 주시겠어요?",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1020,100,Comsoon,"네, 그렇게 하겠습니다!",glad,TRUE,,,,,,,,,,,,,,,,,,,,,
1021,100,Player,"조장은 엄청난 실력의 보유자였고, 생각보다 할 게 없었다.
얻어간 건 별로 없었지만, 조장의 활약으로 쉽게 버스를 타게 되었다.",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1022,101,Comsoon,"... …아! 다 봤다.
이것만 봐야지 하다가 벌써 새벽이네.",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1023,101,Comsoon,그럼 이제 슬슬 자 볼까.,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1024,101,Comsoon,…,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1025,101,Comsoon,……,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1026,101,Comsoon,아!,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1027,101,Comsoon,맞다 과제!!!,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1028,101,Comsoon,"내일까지 내야 하는데, 깜빡했네... 
어쩌지...?",sad,TRUE,1,,,,,,,,,,,,,,,,,,,,
1029,101,Comsoon,아으으... 역시 해야겠지...?,sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1030,101,Player,"졸린 몸을 이끌고 간신히 과제를 끝마쳤다.
하지만 늦게까지 잠을 자지 못해 어딘가 피곤한 느낌이다…",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1031,101,Comsoon,졸리니까 일단 자고 내일 하자…,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1032,101,Comsoon,쿨…,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1033,101,Player,(다음 날 아침.),none,FALSE,,,,,,,,,,,,,,,,,,,,,
1034,101,Comsoon,"하아암… 잘 잤다.
얼른 학교 갈 준비 해야지…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1035,101,Comsoon,"음… 그런데…
뭘까, 뭔가 중요한 걸 잊은 듯한 이 느낌은…?",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1036,101,Player,(수업 시간.),none,FALSE,,,,,,,,,,,,,,,,,,,,,
1037,101,Professor,"자, 그럼 다들 지금 과제 제출할 수 있도록 하세요.",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1038,101,Comsoon,… 아!,sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1039,101,Player,"푹 잤지만 과제가 있다는 사실을 잊어버렸다!
결국 과제를 제출할 수 없었다…",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1040,102,Comsoon,"조교님, 이것 좀 보세요!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1041,102,Comsoon,"제 최애캐 굿즈가 새로 나왔어요!
이번 건 진짜 역대급이에요!!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1042,102,Comsoon,"헉, 근데… 가격이…
어, 어쩌죠?",basic,TRUE,2,,,,,,,,,,,,,,,,,,,,
1043,102,Comsoon,"… 어서오세요!
주문 도와드리겠습니다.",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1044,102,Comsoon,"메가슈퍼킹슈림프머쉬룸버거 맞으시죠?
결제 되셨습니다. 감사합니다!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1045,102,Player,(일주일 후.),none,FALSE,,,,,,,,,,,,,,,,,,,,,
1046,102,Comsoon,네…! 이걸로 할게요.,glad,TRUE,,,,,,,,,,,,,,,,,,,,,
1047,102,Comsoon,… 헤헤.,glad,TRUE,,,,,,,,,,,,,,,,,,,,,
1048,102,Player,"비록 알바는 정말 힘들었지만,
갖고 싶었던 굿즈를 살 수 있게 되었다!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1049,102,Comsoon,……역시 그렇죠?,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1050,102,Player,(그날 밤.),none,FALSE,,,,,,,,,,,,,,,,,,,,,
1051,102,Comsoon,"그래, 난 아무 것도 못 본거야.
굿즈는 나온 적이 없었던 거지.",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1052,102,Comsoon,"그러니까 괜찮아.
애초에 아무 일도 없었으니까, 응…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1053,102,Comsoon,… …,sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1054,102,Comsoon,"우으으… 최애야……
훌쩍…",sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1055,102,Player,"정말 진짜 꼭 굿즈를 장만하고 싶었지만,
결국 통장 잔고에 굴복하고 말았다!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1056,103,Comsoon,하아암…,sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1057,103,StudentA,"지금 그거 다섯 번째 하품인 거 알아?
못 잔 거야?",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1058,103,Comsoon,"으응… 어제 잠을 못 잤어…
밤새 게임… 이 아니라!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1059,103,Comsoon,"공부!
공부하느라! 헤헤…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1060,103,StudentA,"음… 그럼 내가 도와줄 수 있을 것 같은데.
이리 와 봐!",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1061,103,Player,…,none,FALSE,,,,,,,,,,,,,,,,,,,,,
1062,103,Comsoon,"여긴… 편의점?
커피 사 주려고?",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1063,103,StudentA,"커피같은 게 아냐! 잠자코 있어 봐.
네, 이렇게 결제해주세요.",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1064,103,StudentA,"이거랑, 저거를 섞고…
이 비율로 이걸 넣으면…!",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1065,103,StudentA,"자, 완성!
얼른 마셔봐. 잠 깨는 데에는 이게 최고거든.",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1066,103,Comsoon,"어… 이거 마셔도 되는 거야?
뭔가 좀 위험해 보이는데…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1067,103,StudentA,"졸리다며? 하품 다섯 번 했잖아?
안 마실거면 내가 마신다?",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1068,103,Comsoon,그러니까…,basic,TRUE,3,,,,,,,,,,,,,,,,,,,,
